,Wavelength,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8
519,525.0251,127.1927,76.6796,75.99062,69.49827,95.54895,85.58104,64.58006,101.328,84.29253,95.14162,79.82885,89.06517,90.12424,74.67075,114.765,89.01053,88.70704,100.5144,85.39622,96.79692,96.19946,74.82133,85.49367,71.15357,69.92609,60.68252,71.62314,65.82224,88.88083,57.25017,80.83506,99.14465,39.29593
522,525.5072,123.6096,76.40527,75.88251,68.39264,94.32758,86.92702,65.77528,99.50996,85.64014,92.97211,81.49384,87.38354,90.24512,72.50746,108.0129,85.62619,88.7369,99.77332,86.3537,93.80163,93.15046,74.61848,87.88239,70.73524,71.82335,62.57513,73.66634,67.65181,90.11946,59.33608,81.25548,98.11151,40.35543
525,525.9893,120.0215,77.07693,75.62437,68.85143,94.416,88.48847,65.88596,98.6537,87.84265,92.43036,83.78013,85.60335,89.74455,71.67633,103.571,83.1629,88.87653,98.25449,88.08944,91.66953,90.71066,74.07574,88.68219,70.26711,76.89428,65.14648,78.88627,72.26965,87.79451,61.63005,82.52952,96.66206,40.48632
528,526.4714,115.2673,78.72756,75.2168,71.42174,95.08501,89.0582,65.87595,98.05039,89.29522,93.58869,85.5183,84.08373,89.7132,71.44428,101.6115,82.07068,88.29443,96.34155,89.33823,90.88521,89.72055,74.44614,86.70795,70.13464,81.68592,67.36086,84.76036,79.05847,83.72943,64.26987,84.22943,95.45251,41.06808
529,526.7125,112.672,79.7569,75.16134,73.20522,95.4374,88.73663,66.18664,97.574,89.24752,94.39787,85.841,83.45524,89.9889,71.25609,101.371,81.94677,87.73988,95.44976,89.5516,90.93373,89.75365,75.1529,85.05698,70.27596,82.72823,68.03378,87.17777,82.74281,81.75956,65.66309,84.94459,95.12475,41.89119
530,526.9536,110.2224,80.83116,75.31081,75.00909,95.69882,88.03767,66.81338,96.9582,88.68197,95.09367,85.72915,82.99568,90.41584,71.01174,101.4288,82.036,87.19016,94.71288,89.52411,91.20424,90.03924,76.09425,83.35809,70.53384,82.73674,68.40738,89.08322,86.23691,80.028,67.01684,85.41425,95.03436,43.09057
531,527.1946,108.1138,81.90116,75.68739,76.57325,95.78592,87.06596,67.74599,96.2788,87.78029,95.52679,85.20384,82.79438,90.92632,70.81093,101.6186,82.31625,86.82349,94.17641,89.34696,91.63578,90.47328,77.09682,81.88579,70.84624,82.02497,68.57294,90.47512,89.21371,78.56007,68.23954,85.58362,95.16322,44.57548
532,527.4357,106.4401,82.93442,76.25783,77.70158,95.63293,85.96625,68.90925,95.64648,86.78316,95.627,84.33109,82.91611,91.4418,70.79321,101.8085,82.79704,86.75999,93.84266,89.11337,92.15385,90.95703,77.99243,80.81554,71.13289,81.02553,68.65829,91.37917,91.38097,77.32818,69.24552,85.47689,95.43666,46.22015
535,527.9178,104.3286,84.75356,77.65957,78.36513,94.52946,83.90163,71.43447,94.84106,85.25188,94.88589,81.9509,84.03578,92.18582,71.65134,101.9172,84.4082,87.58383,93.56245,88.72665,93.09155,91.78052,79.07902,79.99485,71.39572,79.35358,68.99563,91.79746,92.62671,75.5174,70.3945,84.81119,95.92023,49.51484
538,528.3999,103.3349,85.83901,78.89927,77.35052,92.78918,82.61414,73.45895,94.64368,84.71217,93.46342,79.6334,85.50251,92.16759,73.49311,101.741,86.70514,88.8025,93.25778,88.52081,93.34209,92.12489,79.35833,80.38969,71.29597,78.4243,69.74593,90.61787,89.97351,74.86684,70.43685,84.29886,95.43078,52.38213
541,528.882,102.8685,85.84536,79.76426,75.95004,91.36129,82.24393,74.68684,94.4863,84.74805,92.20931,78.40362,86.15132,91.397,75.21505,101.728,88.93646,88.98772,92.45465,88.33472,92.80941,91.96201,79.63852,80.96334,71.45854,77.34216,70.48633,88.92036,85.28251,76.05447,69.995,84.34641,93.62,54.79456
544,529.3641,102.7592,85.18236,80.37887,75.28796,90.75761,82.42011,75.46775,94.07617,85.05334,91.55475,78.55793,85.78439,90.48844,76.07053,102.0149,90.27238,87.8215,91.18249,88.06892,92.10863,91.39637,80.39291,81.10887,72.41808,75.79279,70.82462,88.2538,80.68475,79.21293,69.89545,84.64012,91.19005,56.83883
545,529.6052,102.8649,84.90479,80.60485,75.35532,90.68964,82.54774,75.79668,93.90626,85.36264,91.40263,78.96942,85.44929,90.2271,76.25679,102.1268,90.47356,87.05154,90.48379,87.91997,91.8894,90.98319,80.85446,81.04244,73.15768,75.09654,70.87862,88.56686,78.85149,81.18153,70.1335,84.69666,90.08319,57.68926
546,529.8463,103.098,84.78225,80.74845,75.64935,90.70822,82.64256,76.07699,93.87773,85.81028,91.28345,79.44031,85.1408,90.17542,76.40389,102.0931,90.35145,86.38732,89.81061,87.77548,91.77282,90.49703,81.25368,80.95546,73.95721,74.63731,70.91679,89.23748,77.42118,83.06548,70.55998,84.62287,89.17493,58.38791
